VTV1,VTV2,VTV3,VTV4,VTV6,VTV7,VTV8,VTV9,VTVCab2 - PhimViet,VTVCab7 - D Dramas
05:10 - Tiếng nói phụ nữ - Vì cộng đồng bền vững,05:25 - Thức cùng ban mai -  ,07:50 - Nét ẩm thực Việt -  ,04:00 - Giai điệu cuộc sống - Trở về sông quê,06:30 - Phim hoạt hình -  ,09:30 - Trường học VTV7 (Tiểu học) - Cuộc sách của em; Nấu ăn bằng trái tim; 5 từ mới tiếng Anh,09:00 - Bản tin -  ,04:15 - Y khoa hiện đại -  ,10:00 - Phim truyện - Khúc tương tư - Tập 4,11:00 - Phim truyện - Nàng vợ xuất chúng - Tập 30
05:25 - S - Việt Nam -  ,05:55 - Vui khỏe 24/7 - Tập 75,07:55 - Mỗi ngày một niềm vui -  ,04:15 - Ký sự - Sắc màu làng hương Thủy Xuân,07:00 - Thể thao -  ,10:00 - Trường học VTV7 (Mầm non) - Lớp học cầu vồng: Giao thông - Số 1,09:15 - Phim truyện - Mặt trái tình yêu - Tập 50,04:30 - Thẩm mỹ văn minh -  ,11:00 - Phim truyện - Trại cá sấu - Tập 24,12:00 - Phim truyện - Nhật ký kẻ trộm tình - Tập 7
05:30 - Chào buổi sáng -  ,06:00 - Bạn của nhà nông - Số 103.18,07:58 - Thời tiết -  ,"04:30 - Phim tài liệu - Đường tới trường ""69731=69713""",08:30 - Phim truyện -  ,10:30 - Văn vui vẻ - Số 20:  Tức nước vỡ bờ,10:00 - Tư vấn tiêu dùng -  ,04:40 - Về đất phương Nam - Yên bình Trà Vinh,12:00 - Phim truyện - Ánh sáng thiên đường - Tập 34,13:00 - Phim truyện - Bức họa vương quyền - Tập 53
06:55 - Cà phê khởi nghiệp -  ,06:45 - Bốn mùa yêu thương -  ,08:00 - Xả xì chét - Khách sộp,05:00 - Phim truyện - Ngày mai ánh sáng - Tập 43,09:15 - Khám phá thế giới - Phiêu lưu trong khoa học - Tập 8,11:00 - Học cùng con - Số 16:  Đàn hồi,10:05 - Phóng sự - Bệnh nghề nghiệp - Câu chuyện từ Quảng Nam,05:00 - Ca nhạc - Tôi yêu Việt Nam,13:00 - Phim truyện - Khát vọng xanh - Tập 33,14:00 - Phim truyện - Người vợ dũng cảm - Tập 58
06:58 - V - Việt Nam -  ,07:10 - Tôi là người đồng hành -  ,08:20 - Truyền hình trực tiếp - Giải xe đạp Quốc tế VTV Cúp Tôn Hoa Sen 2018,05:45 - Thời tiết du lịch -  ,10:00 - Khám phá Việt Nam - Linh thiêng Tử Trầm Sơn,11:15 - 5 ngôn ngữ ký hiệu - Số 10: Rau củ quả,10:15 - Ca nhạc - Thanh âm cuộc sống: Tôi yêu Việt Nam,05:30 - Chào buổi sáng -  ,14:00 - Phim truyện - Con gái ông trùm - Tập 25,15:00 - Phim truyện - Đuổi bắt tình yêu - Tập 32
07:00 - Tài chính - Kinh doanh -  ,07:25 - Biển đảo quê hương -  ,11:00 - Thông tin 260 -  ,06:00 - Người Việt bốn phương -  ,10:30 - Thể thao -  ,11:30 - Toán học diệu kỳ - Số 11,10:35 - Phim tài liệu - Một ký ức mùa thu,06:00 - Ký sự - Phương Nam du ký - Tập 14,15:00 - Phim truyện - Tôi yêu cô đơn - Tập 5,16:00 - Phim truyện - Bức họa vương quyền - Tập 54
07:25 - Tôi là nông dân -  ,07:30 - Khám phá thế giới - Những chuyến di cư thời hiện đại – Tập 12,11:10 - Phụ nữ là số 1 - Chữa bệnh stress cho chồng,06:15 - Vui sống mỗi ngày -  ,11:00 - Chúng ta là một gia đình -  ,11:45 - Cùng tỏa sáng - Số 23,11:00 - Khám phá Việt Nam - Mỹ nghệ đá Phụng Châu,06:15 - Sáng Phương Nam -  ,16:00 - Phim truyện - Khúc tương tư - Tập 5,17:00 - Phim truyện - Bóng tối của cám dỗ - Tập 1
07:30 - Nẻo về nguồn cội - Điêu khắc trên bia đề danh tiến sỹ,08:00 - Khám phá - Hoa Lư - Kinh đô đá,11:20 - Phim truyện - Người mẹ không tên - Tập 99,07:00 - Cà phê sáng -  ,11:30 - Bảng xếp hạng âm nhạc Hàn Quốc -  ,12:00 - Phim hoạt hình - Bánh mỳ mây - Tập 8,11:15 - Ký sự -  ,07:00 - Ca nhạc - Tổ quốc yêu thương,17:00 - Phim truyện - Trại cá sấu - Tập 25,18:00 - Phim truyện - Đuổi bắt tình yêu - Tập 33
07:45 - Khám phá Việt Nam -  ,08:30 - Sắc màu các dân tộc - Sắc màu Kbang,12:00 - Phim truyện - Hạ chí chưa tới - Tập 21,08:00 - Bản tin tiếng Anh -  ,11:55 - Thời tiết -  ,12:10 - Phim hoạt hình - Những người bạn ở sở thú - Tập 13,11:30 - Bản tin -  ,07:30 - Về đất phương Nam - Phong lưu Sa Đéc,18:00 - Phim truyện - Cú hích trên không - Tập 1,19:00 - Phim truyện - Bích huyết thư - Tập 26
08:00 - Câu chuyện văn hóa - Sáng tạo nghệ thuật,09:00 - Cùng bạn chữa bệnh -  ,12:50 - Vui sống mỗi ngày -  ,08:30 - Vietnam: A-Z -  ,12:00 - Bữa trưa vui vẻ -  ,12:15 - Phim hoạt hình - Peet thám tử rừng xanh - Phần 2 - Tập 139,12:00 - Phim Việt Nam - Tình thù hai mặt - Tập 22,07:50 - Vì nhân dân quên mình -  ,19:00 - Phim truyện - Khát vọng xanh - Tập 34,20:00 - Phim truyện - Bóng tối của cám dỗ - Tập 2
08:35 - Trái tim cho em -  ,09:20 - Đèn giao thông -  ,13:45 - Phim truyện - Bí mật cây cầu cũ - Tập 304,"09:00 - Ký sự - Chuyện cũ Đà Lạt - Tập 1,2",13:00 - Thể thao -  ,12:30 - Thế giới kỳ diệu - Tập 6,12:50 - Alo8!8!8! -  ,08:10 - Cẩm nang sức khỏe -  ,20:00 - Phim truyện - Con gái ông trùm - Tập 26,21:00 - Phim truyện - Bức họa vương quyền - Tập 55
08:45 - Cựu chiến binh Việt Nam - Cựu chiến binh vượt lên gian khó,09:30 - Khám phá thế giới - Khám phá Địa Trung Hải – Tập 2,14:35 - Khát vọng non sông -  ,09:30 - Thế giới tuổi thơ -  ,13:30 - Ngôi nhà thế hệ số - Ông bà tôi -  ,12:50 - Stream toán học B - Tập 2,13:00 - Phim truyện - Người vợ 100 ngày - Tập 15,08:20 - Sống với thiên nhiên - Ramsar mũi Cà Mau – món quà vô giá,21:00 - Phim truyện - Tôi yêu cô đơn - Tập 6,22:00 - Phim truyện - Người vợ dũng cảm - Tập 59
09:00 - Thời sự 9h -  ,10:15 - Đẹp 24/7 - Kichbox - Đòn tay,14:40 - Dự án số 1 -  ,"10:00 - Ký sự - Ký sự Kon Tum: Dòng sông Đak Bla, trái tim của đồng bào Ba Na",14:00 - Phim truyện - Ngày mai ánh sáng - Tập 39,13:00 - Bóng bóng và 7 câu hỏi địa lý - Số 7: Đồng bằng Nam bộ,13:45 - Tôi là nông dân -  ,08:45 - Bác sỹ của mọi nhà -  ,22:00 - Phim truyện - Khúc tương tư - Tập 6,23:00 - Phim truyện - Đuổi bắt tình yêu - Tập 33
09:15 - Tiếng nói phụ nữ - Vì cộng đồng bền vững,10:20 - Bạn của nhà nông -  ,16:10 - Nhật ký Giải xe đạp Quốc tế VTV Cúp Tôn Hoa Sen 2018 -  ,10:25 - Nét đẹp dân gian - Đàn bầu nhạc cụ độc nhất vô nhị của Việt Nam,14:45 - Khám phá Việt Nam - Linh thiêng Tử Trầm Sơn,13:15 - Math Dorm - Số 6: Phép chia,13:50 - Khám phá thế giới - Sống cùng sư tử - Tập 3: Đồ chơi cho sư tử,09:05 - Tám công sở -  ,23:00 - Phim truyện - Trại cá sấu - Tập 26,
