VTV1,VTV2,VTV3,VTV4,VTV6,VTV7,VTV8,VTV9,VTVCab2 - PhimViet,VTVCab7 - D Dramas
00:00 - Thời sự 0h -  ,00:00 - Những mảnh ghép của cuộc sống -  ,00:00 - Phim truyện - Mặt nạ - Tập 23,00:00 - Bản tin tiêng Việt 0h -  ,00:00 -  - ,00:00 -  - ,00:00 -  - ,00:00 - Thể thao -  ,00:00 -  - ,00:00 - Phim truyện - Bích huyết thư - Tập 25
00:15 - Cảm ơn cuộc đời - Những người đi xây tổ ấm,00:30 - Phóng sự - Hình tượng nghê trong văn hóa Việt,00:50 - Khám phá thế giới - Ngôi nhà mơ ước - Tập 4,00:20 - Sức sống thể thao -  ,00:30 - Phim truyện -  ,06:00 - Thức dậy cùng VTV7 -  ,05:00 - Chuyện biển chuyện người - Nhặt chữ nơi miền đảo,00:30 - Ai rành 6 câu - Tiếng trống sang canh,00:02 - Phim truyện - Cú hích trên không - Tập 1,01:00 - Phim truyện - Bức họa vương quyền - Tập 54
00:30 - Hòa nhạc thính phòng -  ,00:45 - Khám phá thế giới - Trái đất nhìn từ trên cao - Tập 2,01:20 - Điều ước thứ 7 -  ,00:25 - Thời tiết du lịch -  ,01:45 - Bảng xếp hạng âm nhạc Hàn Quốc -  ,07:00 - Crack'em up - Số 6,05:15 - Gặp gỡ cuối tuần -  ,02:00 - Từ biên cương đến hải đảo - Khởi sắc trên một vùng biên giới,01:00 - Phim truyện - Khát vọng xanh - Tập 34,02:00 - Phim truyện - Đuổi bắt tình yêu - Tập 33
01:00 - Thời sự 1h -  ,01:30 - Phim truyện - Tráng sĩ xuất quân - Tập 4,02:10 - Chuyện đêm muộn - Những lá thư tay,00:30 - Talk Vietnam - Tôi 100% nước mắm,02:15 - Khám phá thế giới - Bí mật của những hồ nước - Tập 1,07:30 - Đường đến trường - Kiên quyết,05:30 - Chào buổi sáng -  ,02:20 - Cơm ấm nhà mình -  ,02:00 - Phim truyện - Con gái ông trùm - Tập 26,03:00 - Phim truyện - Bích huyết thư - Tập 26
01:10 - Môi trường -  ,02:25 - Đẹp 24/7 -  ,"03:00 - Phim truyện - Lọ Lem và 4 chàng kỵ sĩ - Tập 21, 22",01:15 - Người Việt bốn phương -  ,03:00 - Hôm nay ai đến? -  ,07:45 - Đổi mới sáng tạo - Số 4: Đưa văn hóa dân tộc vào học sinh dân tộc thiểu số,06:00 - Chào ngày mới -  ,"02:30 - X-Show - Trải nghiệm trò chơi mạo hiểm tại Sông Chày, hang Tối (Quảng Bình)",03:00 - Phim truyện - Tôi yêu cô đơn - Tập 6,04:00 - Phim truyện - Quỷ bà cảnh sát 2 - Tập 8
01:40 - Khám phá Việt Nam - Văn miếu Xích Đằng,02:30 - Khám phá thế giới - Ý tưởng xanh – Tập 3,04:30 - Vui - khỏe - có ích -  ,01:30 - Tường thuật - Chung kết đường lên đỉnh Olympia 2018,03:30 - Thể thao -  ,08:00 - Mẹ ơi tại sao - Phát triển ngôn ngữ,06:30 - Thông tin - Thông báo -  ,02:50 - Hương tình yêu -  ,04:00 - Phim truyện - Khúc tương tư - Tập 6,05:00 - Phim truyện - Bóng tối của cám dỗ - Tập 2
02:00 - Thời sự 2h -  ,03:15 - Bạn của nhà nông - Số 104,05:10 - Không giới hạn - Sasuke Việt Nam -  ,03:00 - Phim tài liệu - Những người mẹ đặc biệt,04:00 - Phim truyện -  ,08:15 - Baby on the way - Tớ là anh cả,06:35 - Phim truyện - Người vợ 100 ngày - Tập 17,03:00 - Gặp nhau để cười -  ,05:00 - Phim truyện - Trại cá sấu - Tập 26,06:00 - Phim truyện - Đuổi bắt tình yêu - Tập 34
02:10 - Phim truyện - Đi tìm tình yêu đích thực - Tập 19,04:00 - Phát triển bền vững -  ,06:00 - Nhịp đập 360° thể thao -  ,03:30 - Việt Nam và Thế giới -  ,04:45 - Khám phá Việt Nam - Trận địa pháo cổ trên núi Lớn,08:30 - Chuyện học trò - Đối diện với vấn đề của gia đình,07:20 - Sắc màu các dân tộc -  ,03:10 - Nhìn ra thế giới - Khoa học lý thú - Tập 1,06:00 - Phim truyện - Cú hích trên không - Tập 2,07:00 - Phim truyện - Bích huyết thư - Tập 27
03:00 - Thời sự 3h -  ,04:15 - Kỹ năng thoát hiểm - Hóc xương,06:45 - S- Việt Nam -  ,04:00 - Phim cuối tuần - Cây búa màu ánh bạc,05:00 - Khám phá thế giới - Hành tinh nổi giận – Tập 25,"09:00 - Phim hoạt hình - Chú rô bốt của tôi - Tập 17, 18",07:50 - Văn học - Nghệ thuật - Những trích đoạn tuồng cổ,03:55 - Lắm người nhiều ma -  ,07:00 - Phim truyện - Khát vọng xanh - Tập 35,08:00 - Phim truyện - Quỷ bà cảnh sát 2 - Tập 9
03:10 - Nghệ sĩ tháng -  ,04:30 - Khám phá thế giới - Nhịp sống khỏe- Tập 1,06:50 - Cà phê sáng cuối tuần -  ,05:45 - Thời tiết du lịch -  ,05:30 - Hôm nay ai đến? -  ,09:30 - Siêu tính nhẩm - Số 15,08:15 - Nhịp cầu VTV8 -  ,04:10 - Nghe cầu vồng nói -  ,08:00 - Phim truyện - Con gái ông trùm - Tập 27,09:00 - Phim truyện - Bức họa vương quyền - Tập 55
