VTV1,VTV2,VTV3,VTV4,VTV5,VTV5 Tây Nam Bộ,VTV6,VTV7,VTV8,VTV9,VTVCab1,VTVCab17 - Yeah 1,VTVCab2 - PhimViet,VTVCab3 - Thể thao TV,VTVCab6 - HayTV,VTVCab7 - D Dramas,VTVCab8 - BiBi,VTVLive
00:00 - Thời sự 0h -  ,00:00 - Visa toàn cầu - Rèn luyện sức khỏe,00:00 -  - ,00:00 - Bản tin tiếng Việt 0h -  ,00:00 - Phim tài liệu - Người đi gieo lửa,00:00 - Phim tài liệu - Người đi gieo lửa,00:00 -  - ,00:00 -  - ,00:00 -  - ,00:00 - Thể thao -  ,00:00 - Người chồng hai mặt - Tập 33,00:00 -  - ,00:00 -  - ,00:00 - ATP World Tour 500 - Dubai Duty Free Vòng 1,00:00 - Chân tình bốn phương - Tập 97 98,00:00 - Phim truyện - Liêu trai 4 - Tập 6,00:00 -  - ,00:00 - Phim truyện - Phim Rubic 8: Thương nhớ ở ai - Tập 25
00:15 - Cải cách hành chính -  ,00:30 - Phóng sự - Thanh âm không đơn độc,00:20 - Phim truyện - Đôi cánh tình yêu - Tập 12,00:20 - Sức sống thể thao -  ,00:30 - Bạn của nhà nông - Diễn đàn ong tại Hà Giang,00:30 - Bạn của nhà nông - Diễn đàn ong tại Hà Giang,01:00 - Phim truyện - Nguyệt thực - Tập 2,06:00 - Thức dậy cùng VTV7 -  ,05:00 - Ký sự -  ,00:30 - Sài Gòn đêm thứ Bảy - Những ca khúc trong phim,01:00 - Khám phá Malaysia cùng Martin Yan Phần 2- Tập 9 -  ,00:30 - Filler show - Chuyện Gia Đình Vàng Số 23,00:02 - Phim truyện - Làng ế vợ Phần 4  - Tập 4,01:30 - Bản tin Thế giới thể thao -  ,02:00 - Phim sitcom Nè biết gì chưa - Tập 110,01:30 - Phim truyện - Nàng dâu lắm chiêu - Tập 5,06:00 - Ngôi sao Bibi - Số 13/2017,00:45 - VTVTrip - Du lịch cùng VTV - Hoàn Kiếm Hà Nội - Thanh âm của Hà Nội
00:30 - Báo chí toàn cảnh -  ,00:45 - Khám phá thế giới - Hiệp sĩ của muôn loài - Phần 8,"01:00 - Khám phá thế giới - Vạn vật trên trái đất - Tập 5: ""Sự sống ở Madagasca""",00:25 - Thời tiết du lịch -  ,01:00 - Khám phá thế giới - Thiên nhiên hoang dã Nhật Bản - Đảo Honshu,01:00 - Khám phá thế giới - Thiên nhiên hoang dã Nhật Bản - Đảo Honshu,01:45 - Bảng xếp hạng âm nhạc Hàn Quốc -  ,07:00 - VTV7 English - Crack'em up - Số 10,05:15 - Kết nối miền Trung -  ,"01:30 - Sắc màu Nhật Bản - Chiba - tình đất, tình người",01:30 - Chuyện khó đỡ - Tập 69,00:45 - Bật mí bí mật - Số 24,01:00 - Phim truyện - Thề không gục ngã  - Tập 7,02:00 - NBA News -  ,02:30 - Ẩm thực Thực đơn đỉnh Số 10 -  ,02:00 - Phim truyện - Giọt lệ cứu mạng - Tập 20,06:30 - Thuyền trưởng Flinn và đội quận hải tặc - Tập 8,00:50 - Phim tài liệu - Hạnh phúc mỗi ngày được sống
01:00 - Thời sự 1h -  ,01:30 - Phim truyện - Võ Thập Nương - Tập 13,01:20 - Vì bạn xứng đáng -  ,00:30 - Vui sống mỗi ngày -  ,01:50 - Tiểu phẩm hài -  ,02:00 - Vui sống mỗi ngày -  ,02:15 - Khám phá thế giới - Salzburg - thành phố xinh đẹp của nước Áo,07:30 - Học cùng con - Số 19: Áp suất,05:25 - Chào buổi sáng Bông lúa -  ,02:00 - Mùa vàng bội thu - Thủy sản đồng bằng và vai trò của hợp tác xã,02:30 - Linh hồn báo thù - Tập 3,01:00 - Ca nhạc - Ẩm Thực Quanh Ta Số 08,02:00 - Phim truyện - Hot girl làm vợ  - Tập 24,02:15 - Thể thao tổng hợp - Omnisport ( ENG),03:00 - Ca nhạc VZ Playlist - Tập 112,03:00 - Phim truyện - Liêu trai 4 - Tập 7,07:00 - Siêu sao tài năng nhí - Số 9/2018,01:40 - Chuyện đêm muộn - Chuyện đêm muộn - 07/02/2018
01:10 - Diễn đàn Văn học nghệ thuật - Tinh giản biên chế ngành ca múa nhạc,02:25 - Đẹp 24/7 - Vẻ đẹp Gal Gadot,02:10 - Chuyện đêm muộn - Những nghịch lí thời hiện đại,01:15 - Người Việt bốn phương -  ,02:00 - Vui sống mỗi ngày -  ,02:45 - Kiến thức và cuộc sống -  ,03:00 - Hôm nay ai đến? - Số 10,07:45 - Math Dorm - Số 7: Phân số,06:00 - Chào ngày mới -  ,02:20 - Cơm ấm nhà mình -  ,03:30 - Khám phá Malaysia cùng Martin Yan Phần 2- Tập 9 -  ,01:30 - 360 độ thời trang - Số 08,03:00 - Phim truyện - NỢ ân tình  - Tập 12,02:45 - Tổng hợp VĐQG Đức 17/18 - Vòng 24,04:00 - Tình yêu Chocolate - Tập 18,04:00 - Phim truyện - Quả báo - Tập 43,07:30 - Thế giới của Zou - Tập 30,02:25 - Muôn màu Showbiz - Muôn màu Showbiz - 30/7/2017
02:00 - Thời sự 2h -  ,02:30 - Khám phá thế giới - Khoa học và những lời tiên tri - Tập 5,"03:00 - Phim truyện - Vị sếp khó tính - Tập 19, 20",01:30 - Phim truyện - Hoa hồng mua chịu - Tập 2,02:45 - Chuyên mục kiến thức và cuộc sống -  ,03:00 - Phim hoạt hình - Thế giới lọ lem - Tập 8,03:30 - Thể thao - Gạch nối lịch sử,08:00 - Tiếng Anh THCS - Số 39,06:30 - Thông tin - Thông báo -  ,02:30 - Phim tài liệu - Bước qua bóng tối,04:00 - Chuyện khó đỡ - Tập 68,02:00 - Gameshow - Lớp Học Vui Nhộn Nhí Số 20,04:00 - Phim truyện - Kẻ thù phụ nữ  - Tập 27,03:45 - Muôn màu thể thao - Bùi Văn Đông ( Nhảy xa),05:00 - Chân tình bốn phương - Tập 97 98,05:00 - Phim truyện - Cứ lạ đi em - Tập 19,08:00 - Messy hay thắc mắc - Tập 7,03:10 - Phim truyện - Phim Rubic 8: Thương nhớ ở ai - Tập 25
02:10 - Phim truyện - Tình yêu đong đầy - Tập 8,03:15 - Người nông dân hiện đại - Ước mơ của người nông dân,04:30 - Cuộc chiến mỹ vị -  ,02:15 - Tinh hoa nghề Việt - Nghệ thuật làm tranh đỏ kim hoàng,03:00 - Phim hoạt hình - Thế giới Lọ lem - Tập 8,03:30 - Ca nhạc -  ,04:00 - Phim truyện - Ngự lâm không kiếm - Tập 2,08:45 - Thế giới quanh ta - Số 6,06:35 - Phim truyện - Chung một mái nhà - Tập 41,03:00 - Gặp nhau để cười -  ,05:00 - Dấu thập vàng - Tập 26,02:30 - Gameshow - Chuyện Gia Đình Vàng Số 23,05:00 - Phim truyện - Yêu trong thù hận  - Tập 23,04:00 - NBA 2017/2018 - Regular Season Game 103 LA Lakers vs Dallas,07:00 - Đội đặc nhiệm CID - Tập 49,06:00 - Phim truyện - Giọt lệ cứu mạng - Tập 21,08:30 - Nhiệt huyết thần tượng - Tập 10,03:55 - Talk Vietnam - Mang tre nứa vào nhạc hàn lâm
03:00 - Thời sự 3h -  ,04:00 - Chân trời khoa học -  ,05:10 - Điều ước thứ 7 -  ,02:30 - Giai điệu cuộc sống - Xuân quê hương 2018,03:30 - Ca nhạc -  ,04:00 - Khát vọng Việt Nam - Nghệ nhân ca trù Nguyễn Văn Mùi,04:45 - Khám phá Việt Nam - Ba Bể - Bản tình ca thiên nhiên,09:00 - Phim hoạt hình - Tayo xe buýt bé nhỏ - Tập 16,07:20 - Ký sự -  ,03:10 - Nhìn ra thế giới - Những miền đất không thay đổi,06:00 - Sao thế giới - Tập 137,02:45 - Bật mí bí mật - Số 24,06:00 - Phim truyện - Làng ế vợ Phần 4  - Tập 5,05:45 - Trái bóng tròn - Võ Thanh Sơn,08:00 - Ca nhạc VZ Playlist - Tập 113,07:00 - Phim truyện - Liêu trai 4 - Tập 8,09:00 - Nhảy cùng BiBi - Số 29/2017,04:40 - Expat Living - Gus Roe và tình yêu với võ Việt
03:10 - Phim truyện - Đánh tráo số phận - Tập 11,04:30 - Khám phá thế giới - Bí ẩn của bộ xương - Tập 6,06:00 - Nhịp đập 360 độ thể thao -  ,02:55 - Trong sáng cùng tiếng Việt - Số 2,04:00 - Khát vọng Việt Nam - Nghệ nhân ca trù Nguyễn Văn Mùi,04:15 - Hành trình khám phá - Nghệ nhân ca trù Nguyễn Văn Mùi,"05:00 - Khám phá thế giới - Thế giới nhìn từ trên cao - Phần 8, Tập 13",09:15 - Trường học VTV7 (Tiểu học) - Cuốn sách của em – Số 8: Một ngày tốt lành; 5 từ mới tiếng Anh mỗi ngày  - Số 8: Du lịch,07:35 - Ca nhạc - Nắng xuân,03:55 - Sân khấu hài - Tình xuân,06:30 - Khám phá Malaysia cùng Martin Yan Phần 2- Tập 9 -  ,03:00 - Ca nhạc - Yeah1 On Stage Số 09,07:00 - Phim truyện - Thề không gục ngã  - Tập 8,06:00 - Game show Cuồng nhiệt cùng bóng đá 2017 - Liverpool FC vs Cowell FC Plại,09:00 - Phim sitcom Nè biết gì chưa - Tập 110,08:00 - Phim truyện - Quả báo - Tập 44,09:30 - Thuyền trưởng Flinn và đội quận hải tặc - Tập 9,05:10 - Culture Mosaic - Culture Mosaic - 03/02/2018
