VTV1,VTV2,VTV3,VTV4,VTV5,VTV5 Tây Nam Bộ,VTV6,VTV7,VTV8,VTV9,VTVCab1,VTVCab17 - Yeah 1,VTVCab2 - PhimViet,VTVCab3 - Thể thao TV,VTVCab6 - HayTV,VTVCab7 - D Dramas,VTVCab8 - BiBi,VTVLive
"00:00 - Phim truyện - Con hảo hán, tía không ngán - Tập 1",00:00 - KHGD Quốc phòng -  ,00:00 - Phim truyện - Đôi cánh tình yêu - Tập 2,00:00 - Chúc xuân -  ,00:00 - Phim tài liệu - Mùa chim xây tổ - Phần 2,00:00 - Phim tài liệu - Mùa chim xây tổ - Phần 2,00:00 -  - ,00:00 -  - ,00:00 -  - ,00:00 - Ca nhạc - Tết là nhà: Nơi bình yên chim hót,00:00 - Sóng 18 p1 -  ,00:00 - 360 độ thời trang - Số 01,00:00 -  - ,00:00 - WTA Tour 2018 - Taiwan Open - Chung kết,00:00 - Chân tình bốn phương - Tập 77 - 78,00:00 - Vạn nụ cười xuân - Thần tài mất tích,00:00 -  - ,00:00 - Phim truyện - Sống chung với mẹ chồng – Tập 30
01:00 - Gala Tinh hoa võ thuật - Võ Việt vượt trùng dương,00:30 - Phóng sự - Sắc hoa vùng Panduranga,00:50 - Khám phá thế giới - Những loài vật thông minh,01:30 - Tết nghĩa là hy vọng - Tết nghĩa là hy vọng,00:30 - Danh nhân đất Việt - Người dựng nước Vạn Xuân,00:30 - Danh nhân đất Việt - Người dựng nước Vạn Xuân,00:10 - Thể thao - Dấu ấn thể thao Việt Nam,06:00 - Thức dậy cùng VTV7 -  ,05:00 - Ký sự -  ,01:30 - Gặp nhau cuối năm -  ,00:30 - Gala hài xuân 2018 - Ai cũng bật cười 2018 p3,00:30 - Mv -  ,00:02 - Phim truyện - Nhịp sinh tử - Tập 44,01:30 - ATP World Tour 500 - ABN AMRO Vòng 4 -  ,02:00 - Phim sitcom - Nè biết gì chưa - Tập 100,01:00 - Phim truyện - Nàng vali và chàng sơ mi - Tập 24,06:00 - Anh hùng thành phố - Tập 25,00:45 - S-Vietnam - Nguyễn Đức Cường với tình yêu Hà Nội
02:00 - Phim ca nhạc - Bay qua miền hoa nắng,00:45 - Khám phá thế giới - Thực phẩm công nghệ cao,01:20 - Chuẩn cơm mẹ nấu -  ,03:00 - Tiểu phẩm hài - Tư ếch đi chơi tết - Tập 1,01:00 - Ca nhạc -  ,01:00 - Ca nhạc -  ,00:30 - Thể thao - VBA - Vươn tới giấc mơ,07:00 - Phim tài liệu - Kiên quyết,05:15 - Kết nối miền Trung -  ,03:30 - Sân khấu cải lương - Hết đường làm tổng,01:00 - Cô Thắm về làng - Xuân hội ngộ 2018,00:45 - Bật mí bí mật - Số 16,01:00 - Phim truyện - Săn vàng - Tập 27,05:00 - Góc khuất - Hoàng Xuân Vinh,02:30 - Hồn Việt - Tập 15,02:00 - Vạn nụ cười xuân - Xông đất đầu năm,06:30 - Chú chó biết nói - Tập 10/10,00:50 - Phim tài liệu - Mai Thúc Lân trong lòng người ở lại
02:45 - Phim truyện - Cô vợ phù thủy,01:30 - Sống khỏe mỗi ngày - Chén trà trong sương sớm,02:10 - Chuyện đêm muộn - Tết của ngày xưa,"03:30 - Đi đâu ăn gì - Ăn tết, chơi tết",01:30 - Atlast miền Trung - Khám phá Cù Lao Chàm,01:30 - Atlas miền Trung - Khám phá Cù Lao Chàm,01:00 - Phim truyện - Nguyệt thực - Tập 1,07:15 - Đổi mới sáng tạo -  ,05:25 - Chào buổi sáng Bông lúa -  ,05:00 - Ca nhạc -  ,02:00 - Sao và Sự Kiện - Tập 296,01:00 - Siêu thị âm nhạc - Số 117,02:00 - Phim truyện - Hai lúa phiêu lưu - Tập 3,06:00 - Ngoại hạng Anh 17/18 Vòng 23:  Hertha Berlin - Mainz 05 -  ,03:00 - Ca nhạc - VZ Playlist - Tập 102,03:00 - Cô Thắm về làng 3 - Tập 1,07:00 - Trang trại vui vẻ - Tập 9,01:40 - Chuyện đêm muộn - Chuyện đêm muộn - 16/10/2017
04:25 - Hành trình di sản - Mùa xuân trên quê hương quan họ,02:15 - Phóng sự - Nồng ấm tết trên vùng biên giới,"03:00 - Phim truyện - Quan huyện Trịnh Bản Kiều - Tập 41, 42",04:00 - Phim ca nhạc - Vợ khôn,02:00 - Khám phá thế giới - Sống trên đồng cỏ: Những con vật láng giềng,02:00 - Khám phá thế giới - Cuộc sống trên đồng cỏ: Những con vật láng giềng,01:45 - Bảng xếp hạng âm nhạc Hàn Quốc -  ,07:30 - Crack'em up - Số 1,06:00 - Chào ngày mới -  ,05:30 - Chào buổi sáng Bông lúa -  ,02:30 - Dối tình - Tập 23,02:00 - Bạn muốn hẹn hò - Số 57,03:00 - Phim truyện - Hai lúa phiêu lưu - Tập 4,07:30 - Góc khuất - Hoàng Xuân Vinh,04:00 - Tình yêu Chocolate - Tập 08,04:00 - Vạn nụ cười xuân - Hồn chồng da hàng xóm,07:30 - Thế giới của Zou - Tập 19,02:25 - Muôn màu Showbiz - Muôn màu Showbiz - 16/7/2017
05:10 - Thanh âm Việt - Lang thang,02:30 - Khám phá thế giới - Thám tử thức ăn – Tập 1,04:30 - Đường lên đỉnh Olympia -  ,04:45 - Tác phẩm mới - Xuân về,02:50 - VTV5 kết nối -  ,"03:00 - Phim hoạt hình - 12 con giáp - Tập 95, 96","02:15 - Khám phá thế giới - Hành tinh trái đất - Mùa 2, Tập 2 Động vật trong thành phố",08:00 - IELTS FACE OFF - Obstacles,06:30 - Chương trình đặc biệt - Đón Tết cùng VTV,06:00 - Phóng sự - Tết quân dân,03:30 - Sắc xuân 18 -  ,02:30 - Chuyện gia đình vàng - Số 16,04:00 - Phim truyện - Kẻ thù phụ nữ - Tập 17,08:15 - Muôn màu thể thao -  ,05:00 - Chân tình bốn phương - Tập 77 - 78,05:00 - Phim truyện - Cứ lạ đi em ! - Tập 13,08:00 - Lũ trẻ tinh nghịch - Tập 16,03:10 - Phim truyện - Sống chung với mẹ chồng – Tập 30
05:25 - Chào buổi sáng -  ,03:15 - Bạn của nhà nông - Chăm sóc hoa lan Hồ Điệp,05:10 - Vương miện thần kỳ -  ,05:00 - Phim truyện - Hai lúa phiêu du - Tập 3,"03:00 - Phim hoạt hình - 12 con giáp - Tập 95, 96",03:30 - Tiểu phẩm hài - Kẻ cắp gặp bà già,03:00 - Ghế không tựa - Tết Mậu Tuất,08:30 - Follow us - Số 3: Food,08:00 - Khám phá Việt Nam - Bánh chưng đen xứ Mường,06:15 - Sáng Phương Nam -  ,04:00 - Sóng 18 p2 -  ,02:45 - Bật mí bí mật - Số 16,05:00 - Phim truyện - Yêu trong thù hận - Tập 13,08:30 - Thể thao cập nhật -  ,07:00 - Đội đặc nhiệm CID - Tập 39,06:00 - Sóng 18 -  ,08:30 - Cô bé bướng bỉnh - Tập 19,03:55 - Talk Vietnam - Virginia Lockett và những bước chân vững vàng
"06:58 - V - Việt Nam - Làng Kim Hoàng, Vân Canh, Hoài Đức, Hà Nội",04:00 - Phim tài liệu khoa học - Mùa chim làm tổ - Phần 1,06:00 - Nhịp đập 360 độ thể thao -  ,05:30 - Gia đình vui vẻ - Số 3,03:30 - Tiểu phẩm hài - Kẻ cắp gặp bà già,04:00 - Những mảnh ghép của cuộc sống - Nhà điêu khắc của tự nhiên - Tập 1,03:30 - Thể thao - Xuất hành,09:00 - Phim hoạt hình - Tayo xe buýt bé nhỏ - Tập 13,08:15 - Ca nhạc - Nắng xuân,07:00 - Ca nhạc - Chuyện kể mùa xuân,04:30 - Gala hài xuân 2018 - Ai cũng bật cười 2018 p1,03:00 - Ẩm thực quanh ta - Số 01,06:00 - Phim truyện - Nhịp sinh tử - Tập 45,08:45 - WTA Tour 2018 - ASB Classic Chung kết -  ,08:00 - Ca nhạc - VZ Playlist - Tập 103,06:30 - Vạn nụ cười xuân - Chàng rể hotboy,09:00 - Anh hùng thành phố - Tập 26/26,04:40 - Expat Living - Thời Trang Của Antonio
07:00 - Chúc Xuân -  ,04:30 - Khám phá thế giới - Những khu vườn độc đáo - Tập 2,06:45 - S- Việt Nam - Ăn tết cùng đại sứ Palestine,05:45 - Thời tiết du lịch -  ,04:00 - Mảnh ghép cuộc sống - Nhà điêu khắc của tự nhiên - Tập 1,04:30 - Phim truyện - Dâu tây đón tết - Tập 2,04:00 - Phim truyện - Ngự lâm không kiếm - Tập 5,09:15 - Phim hoạt hình - Tayo xe buýt bé nhỏ - Tập 14,08:45 - Phóng sự - Mùa Tết,07:30 - Về đất Phương Nam - Vị tết Trà Vinh,05:00 - Cô Thắm về làng - Xuân hội ngộ 2018,03:30 - 360 độ thời trang - Số 01,07:00 - Phim truyện - Săn vàng - Tập 28,10:15 - NBA News -  ,09:00 - Phim sitcom - Nè biết gì chưa - Tập 100,07:00 - Gala hài xuân 2018 - ACBC 2018 - Phần 1,09:30 - Thuyền trưởng Flinn và đội quận hải tặc - Tập 1/26,05:10 - Culture Mosaic - Culture Mosaic – 07/10/2017
