VTV1,VTV2,VTV3,VTV4,VTV5,VTV5 Tây Nam Bộ,VTV6,VTV7,VTV8,VTV9,VTVCab1,VTVCab17 - Yeah 1,VTVCab2 - PhimViet,VTVCab3 - Thể thao TV,VTVCab6 - HayTV,VTVCab7 - D Dramas,VTVCab8 - BiBi,VTVLive
"00:00 - Phim truyện - Con hảo hán, ba không ngán - Tập 4",00:00 - Visa toàn cầu - Năm tuất - Gặp gỡ nghệ sĩ xiếc thú Lê Quang Ngọc,00:00 -  - ,00:00 - Bản tin tiếng Việt 0h -  ,00:00 - Phim tài liệu - Miệt vườn - Tập 1,00:00 - Phim tài liệu - Miệt vườn - Tập 1,00:00 - Thể thao - Tình thầy trò,00:00 -  - ,00:00 -  - ,00:00 - Chào 2018 -  ,00:00 - Người chồng hai mặt - Tập 28,00:00 -  - ,00:00 -  - ,00:00 - ATP World Tour 500 ABN AMRO - Tứ kết 2,00:00 - Chân tình bốn phương - Tập 73 - 74,00:00 - Cô Thắm về làng - Xuân hội ngộ 2018,00:00 -  - ,00:00 - Phim truyện - Phim Rubic 8: Thương nhớ ở ai - Tập 30
01:00 - Thời sự 1h -  ,00:30 - Phóng sự - Mùa Tết,00:20 - Phim truyện - Đôi cánh tình yêu - Tập 5/73,00:20 - Sức sống thể thao -  ,00:30 - Bạn nhà nông - Mô hình ngỗng trời sinh sản,00:30 - Bạn của nhà nông - Mô hình ngỗng trời sinh sản,00:30 - Thể thao - Thể thao Việt Nam - Gạch nối giữa những thế hệ,06:00 - Thức dậy cùng VTV7 -  ,05:00 - Ký sự -  ,02:30 - Giao lưu ca nhạc -  ,01:00 - Sao thế giới - Tập 136,00:30 - Filler show - Chuyện gia đình vàng số 21,00:02 - Phim truyện - Chôn nhời 1 - Phần 2,01:30 - Bản tin Thế giới thể thao -  ,02:00 - Phim sitcom - Nè biết gì chưa - Tập 98,01:00 - Gala hài xuân 2018 - ACBC 2018 - Phần 2,06:00 - Anh hùng thành phố - Tập 23,00:45 - VTVTrip - Du lịch cùng VTV - Hoàn Kiếm Hà Nội - Thanh âm của Hà Nội
01:10 - Hành trình di sản - Mùa xuân trên quê hương quan họ,00:45 - Khám phá thế giới - Hiệp sĩ của muôn loài - Phần 1,01:00 - Thể thao - Dấu ấn thể thao Việt Nam,00:25 - Thời tiết du lịch -  ,01:00 - Ca nhạc -  ,01:00 - Ca nhạc -  ,01:00 - Phim truyện - Nguyệt thực - Tập 4,07:00 - Phim tài liệu - Đi xa để trở về,05:15 - Kết nối miền Trung -  ,03:30 - Phim tài liệu - Hoàng đế Quang Trung,01:30 - Khám phá Malaysia cùng Martin Yan Phần 2 - Tập 8,00:45 - Bật mí bí mật - Số 21,01:00 - Phim truyện - Săn vàng - Tập 30,02:00 - NBA News -  ,02:30 - Hồn Việt - Tập 13,01:30 - Sóng 18 -  ,06:30 - Chú chó biết nói - Tập 8,00:50 - Phim tài liệu - Hạnh phúc mỗi ngày được sống
02:00 - Thời sự 2h -  ,01:30 - Phim truyện - Võ Thập Nương - Tập 6,01:20 - Vì bạn xứng đáng -  ,00:30 - Vui sống mỗi ngày -  ,02:00 - Vui sống mỗi ngày -  ,01:30 - Kiến thức cộng đồng - Sức hút của gốm,01:45 - Bảng xếp hạng âm nhạc Hàn Quốc -  ,07:15 - Đổi mới sáng tạo -  ,05:25 - Chào buổi sáng Bông lúa -  ,04:00 - Cơm ấm nhà mình -  ,02:00 - Sóng 18 - p1,01:00 - Ca nhạc - Yeah1 on stage số 06,02:00 - Phim truyện - Tráo ông thổ địa - Tập 3,02:15 - Thích thì thử - Lặn biển & Kayak,03:00 - Ca nhạc - VZ Playlist - Tập 100,02:00 - Phim truyện - Giọt lệ cứu mạng - Tập 13,07:00 - Siêu sao tài năng nhí - Số 7/2018,01:40 - Chuyện đêm muộn - Chuyện đêm muộn - 12/02/2018
02:10 - Phim truyện - Tình yêu đong đầy - Tập 1,02:30 - Khám phá thế giới - Những thành phố bí mật – Tập 1,02:10 - Chuyện đêm muộn - Tết của người trẻ,01:15 - Người Việt bốn phương -  ,02:45 - Kết nối VTV5 -  ,02:00 - Khám phá thế giới - Khám phá Bắc Mỹ - Phần 1,"02:15 - Khám phá thế giới - Hành tinh trái đất - Mùa 2, Tập 5 ""Vùng đồng cỏ""",07:30 - Crack'em up - Số 4,06:00 - Chào ngày mới -  ,04:10 - Mùa vàng bội thu - Đầu năm với chuyện rau củ sạch,02:30 - Dối tình - Tập 26,02:00 - Gameshow - Gia đình tài tử số 61,03:00 - Phim truyện - Tráo ông thổ địa - Tập 4,02:30 - ATP World Tour 500 Rio Open - Vòng 1,04:00 - Tình yêu Chocolate - Tập 06,03:00 - Cô Thắm về làng 3 - Tập 4,07:30 - Thế giới của Zou - Tập 17,02:25 - Muôn màu Showbiz - Muôn màu Showbiz - 30/7/2017
03:00 - Thời sự 3h -  ,03:15 - Người nông dân hiện đại - Miền Tây mùa lúa mới,"02:50 - Phim truyện - Vị sếp khó tính - Tập 5, 6",01:30 - 12 con giáp -  ,03:30 - Hài dân gian - Đánh cược tình duyên - Tập 3,03:00 - Phim hoạt hình - Thế giới lọ lem - Tập 1,03:00 - Ghế không tựa - Tết Mậu Tuất,08:00 - IELTS FACE OFF - The sky's the limit,06:30 - Ca nhạc - Nắng xuân,04:30 - Bí quyết phong cách -  ,03:30 - Gala hài xuân 2018 - Ai cũng bật cười p1,02:30 - Gameshow - Mv,04:00 - Phim truyện - Kẻ thù phụ nữ - Tập 20,08:30 - Thể thao cập nhật -  ,05:00 - Chân tình bốn phương - Tập 73 - 74,04:00 - Phim truyện - Quả báo - Tập 36,08:00 - Lũ trẻ tinh nghịch - Tập 14,03:10 - Phim truyện - Phim Rubic 8: Thương nhớ ở ai - Tập 30
03:10 - Phim tài liệu - Những đỉnh núi du ca người Mông,04:00 - Chân trời khoa học -  ,04:20 - Điều ước thứ 7 - Lòng tốt và sự lan tỏa,03:00 - Bản tin tiếng Pháp -  ,04:00 - Hành trình cuộc sống - Mâm cúng đàu năm của người Mường,03:30 - Hài dân gian - Đánh cược tình duyên - Tập 3,03:30 - Thể thao - Cảm ơn thể thao,08:30 - Follow us - Environment,07:00 - Con đường di sản - Bảo tồn và phát huy di sản Bài chòi,04:40 - Món ngon Phương Nam - Mâm cỗ tết phương Nam,04:00 - Chuyện khó đỡ - Tập 66,02:45 - Chuyện gia đình vàng - Số 21,05:00 - Phim truyện - Yêu trong thù hận - Tập 16,08:45 - ATP World Tour 500 ABN AMRO - Tứ kết 2,07:00 - Đội đặc nhiệm CID - Tập 37,05:00 - Gala hài xuân 2018 - ACBC 2018 - Phần 3,08:30 - Cô bé bướng bỉnh - Tập 17,03:55 - Talk Vietnam - Mang tre nứa vào nhạc hàn lâm
04:00 - Thời sự 4h -  ,04:30 - Khám phá thế giới - Những khu vườn độc đáo - Tập 5,06:00 - Nhịp đập 360° thể thao -  ,"03:30 - Cuộc sống vẫn tươi đẹp - Ăn cơm năm mới, nói chuyện năm cũ",04:30 - Phim truyện - Dâu tây đón tết - Tập 5,04:00 - Hành trình cuộc sống -  ,04:00 - Phim truyện - Ngự lâm không kiếm - Tập 2,08:45 - Học cùng con - Số 7: Tại sao chim biết bay,07:15 - Ký sự -  ,05:00 - Ca nhạc - Nắng có còn xuân,05:00 - Sóng 18 - p3,03:00 - Ca nhạc - Siêu thị âm nhạc số 122,06:00 - Phim truyện - Chôn nhời 2 - Phần 1,10:15 - NBA News -  ,08:00 - Ca nhạc - VZ Playlist - Tập 101,05:30 - Sóng 18 -  ,09:00 - Anh hùng thành phố - Tập 24,04:40 - Expat Living - Gus Roe và tình yêu với võ Việt
04:10 - Khám phá thế giới - Những thiên đường cuối cùng - Tập 12,05:00 - Sắc màu các dân tộc - Năm Tuất bàn về tục thờ chó đá,06:45 - MV yêu thích - Mùa xuân đầu tiên,04:00 - Du Xuân - Du Xuân Mậu Tuất - Nhân và Mộc,05:30 - Chương trình tiếng Mông - Tôi là con của núi,04:30 - Phim truyện - Dâu tây đón tết - Tập 5,04:45 - Khám phá Việt Nam - Làng cổ Lý Hòa,09:00 - Phim hoạt hình - Tayo xe buýt bé nhỏ - Tập 16,07:30 - Chương trình khai thác - Con đường nông sản,05:30 - Chào buổi sáng Bông lúa -  ,05:30 - Sao thế giới - Tập 136,04:00 - Gameshow - Bé làm người lớn số 11,07:00 - Phim truyện - Thề không gục ngã - Tập 1,10:30 - VĐQG Đức 17/18 - Vòng 23 Hertha Berlin vs Mainz 05,09:00 - Phim sitcom - Nè biết gì chưa - Tập 98,06:00 - Phim truyện - Giọt lệ cứu mạng - Tập 14,09:30 - Chú chó biết nói - Tập 9,05:10 - Culture Mosaic - Culture Mosaic -16/02/2018
