VTV1,VTV2,VTV3,VTV4,VTV5,VTV5 Tây Nam Bộ,VTV5 Tây Nguyên,VTV6,VTV7,VTV8,VTV9,VTVCab1,VTVCab2 - PhimViet,VTVCab3 - Thể thao TV,VTVCab7 - D Dramas,VTVCab8 - BiBi
00:00 - Thời sự 0h -  ,00:00 - An ninh và Cuộc sống -  ,00:00 - Khám phá thế giới - Thế giới các loài cây - Tập 23,00:00 - Bản tin tiếng Việt 0h -  ,00:00 - Phim tài liệu - Gia tộc vươn khơi,00:00 - Phim tài liệu - Gia tộc vươn khơi,00:00 - Phim tài liệu - Gia tộc vươn khơi,00:00 -  - ,00:00 -  - ,00:00 -  - ,00:00 - Thể thao -  ,00:00 - Chỉ yêu mình em - Tập 77,00:00 -  - ,00:00 - WTA Tour 2018 The Classic Birmingham - Vòng 3,00:00 - Phim truyện - Cẩm tú duyên - Tập 40,00:00 -  - 
00:15 - Phát huy vai trò của mặt trận - Khi dân chấm điểm chính quyền,00:30 - Phóng sự - Thổi hồn vào những cuộn len,00:30 - Truyền hình trực tiếp - World Cup 2018: Argentina - Croatia,00:20 - Sức sống thể thao -  ,00:30 - Bạn của nhà nông - Liên kết sản xuất và tiêu thụ sản phẩm,00:30 - Bạn của nhà nông - Liên kết sản xuất và tiêu thụ sản phẩm,00:30 - Bạn nhà nông - Liên kết sản xuất và tiêu thụ sản phẩm,00:30 - Thứ sáu để yêu -  ,06:00 - Thức dậy cùng VTV7 -  ,05:00 - Ký sự -  ,00:30 - Bếp quê -  ,01:00 - Chuyện khó đỡ - Tập 101,00:02 - Phim truyện - Đò dọc - Tập 18,01:30 - Bản tin -  ,01:00 - Phim truyện - Hoa trong ngục - Tập 51,06:00 - Phim hoạt hình - Bí ẩn đại dương sâu thẳm - Tập 22
00:30 - Cửa sổ ASEAN -  ,00:45 - Khám phá thế giới - Thế giới võ thuật - Tập 5,03:30 - Đường lên đỉnh Olympia -  ,00:25 - Thời tiết du lịch -  ,01:00 - Khám phá thế giới - Hành trình của đá - Phần 3: Đá Granite - Trên vùng biển lạnh,01:00 - Khám phá thế giới - Hành trình của đá - Phần 3,01:00 - Khám phá thế giới - ConGo hoang dã - Tập 1,01:00 - Phim truyện - Ranh giới thiện ác - Tập 15,07:00 - Crack'em up - Số 14,05:15 - Kết nối miền Trung - Đi Lên Từ Biển,00:40 - Xả Xì Trét -  ,02:00 - Sao thế giới - Tập 153,01:00 - Phim truyện - Sức nặng tình thâm - Tập 19,01:45 - Nhật ký Cúp Bóng đá Thế giới Plại -  ,02:00 - Phim truyện - Kẻ phụ tình - Tập 27,06:30 - Phim hoạt hình - Pokemon - Phần 2 - Tập 26
01:00 - Thời sự 1h -  ,01:30 - Phim truyện - Vòng xoáy vương quyền - Tập 11,04:20 - Chuẩn cơm mẹ nấu -  ,00:30 - Vui sống mỗi ngày -  ,02:00 - Vui sống mỗi ngày -  ,02:00 - Vui sống mỗi ngày -  ,02:00 - Vui sống mỗi ngày -  ,01:45 - Bảng xếp hạng âm nhạc Hàn Quốc -  ,07:30 - Đường đến trường - Không có mưa,05:25 - Chào buổi sáng Bông lúa -  ,01:00 - Văn học nghệ thuật - Nơi thăng hoa của hiện thực và nghệ thuật,02:30 - Tình sâu hơn hận - Tập 94,02:00 - Phim truyện - Nhà trọ có 4 cô chiêu - Tập 25,02:00 - Bóng đá nghệ thuật - LATW,03:00 - Phim truyện - Phượng mưu hoàng kế - Tập 1,07:00 - Nhảy cùng BiBi - Số 5
01:10 - Dân tộc và phát triển - Xóa nghèo - Nhìn từ cách làm của Quảng Ninh,02:15 - An sinh xã hội - Hợp đồng lao động cho người giúp việc,05:10 - Lựa chọn của trái tim -  ,01:15 - Người Việt bốn phương -  ,02:45 - Thông tin chính sách và pháp luật -  ,02:45 - Thông tin chính sách và pháp luật -  ,"03:00 - Phim hoạt hình - Hoàng tử Farhat và viên pha lê bọ cạp - Tập 5,6",02:15 - Khám phá thế giới - Lịch sử chế tạo súng,07:45 - Đổi mới sáng tạo - Số 2,06:00 - Chào ngày mới -  ,01:30 - Khám phá thế giới - Từ nguyên liệu đến món ăn - Tập 10,03:30 - Sao và sự kiện - Tập 312,03:00 - Phim truyện - Yêu thuê - Tập 25,02:15 - Thể thao tổng hợp - Omnisport ( ENG),04:00 - Phim truyện - Nhà tôi là nhất - Tập 86,08:00 - Phim hoạt hình - Huyền thoại một anh hùng - Tập 18
01:40 - Tuổi cao gương sáng - Khát vọng không tuổi,02:25 - Đẹp 24/7 - Phun thêu cho mùa hè rực rỡ,06:00 - Nhịp đập 360 độ thể thao -  ,01:30 - Tường thuật - Lễ trao giải thưởng toàn quốc về thông tin đối ngoại 2017,"03:00 - Phim hoạt hình - Mongini - Giấc mơ ngôi sao - Tập 7, 8","03:00 - Phim hoạt hình - Mongini - Giấc mơ ngôi sao - Tập 7, 8",03:30 - Ca nhạc -  ,03:00 - Hôm nay ai đến? -  ,08:00 - Mẹ ơi tại sao - Khái niệm khó,06:30 - Thông tin - Thông báo -  ,02:00 - Vì bình yên cuộc sống -  ,04:00 - Sao thế giới - Tập 153,04:00 - Phim truyện - Hoàng hôn dịu dàng - Tập 41,02:45 - NBA Action 25 - 18 -  ,05:00 - Phim truyện - Con riêng của mẹ - Tập 29,08:30 - Phim hoạt hình - Lucas & Emily - Tập 4
02:00 - Thời sự 2h -  ,02:30 - Khám phá thế giới - Trái đất: Ngôi nhà chung - Tập 6,06:45 - S- Việt Nam - Thanh âm Si Ma Cai,03:00 - Bản tin tiếng Pháp -  ,03:30 - Ca nhạc -  ,03:30 - Ca nhạc -  ,04:00 - Sinh ra từ làng - Làm giàu từ bột Matcha,03:30 - Thể thao -  ,08:15 - Baby on the way - Mondy và tớ,06:35 - Phim truyện - Nỗi lòng mẹ kế - Tập 28,02:20 - Cơm ấm nhà mình -  ,04:30 - Kiến tạo nhịp cầu mùa 4 - Tập 1,05:00 - Phim truyện - Tơ đồng vương vấn - Tập 3,03:15 - Premier League World 25 - 18 -  ,06:00 - Phim truyện - Kẻ phụ tình - Tập 28,09:00 - Phim hoạt hình - Bí ẩn đại dương sâu thẳm - Tập 23
02:10 - Phim truyện - Thế lực cạnh tranh - Tập 36,03:15 - Bạn của nhà nông -  ,06:55 - Quà tặng cuộc sống - Học làm người tử tế,"03:30 - Xin chào, Việt Nam - Xin chào, Việt Nam",04:00 - Sinh ra từ làng - Làm giàu từ bột Matcha,04:00 - Sắc màu các dân tộc -  ,04:30 - Phim truyện - Hạnh phúc duyên đưa - Tập 34,04:00 - Phim truyện - Ranh giới thiện ác - Tập 16,08:30 - Chuyện học trò - Bí kíp làm việc nhóm,07:20 - Ký sự -  ,02:30 - 8 Xi Nê -  ,05:00 - Bác sĩ ma cà rồng - Tập 5,06:00 - Phim truyện - Đò dọc - Tập 19,03:45 - Trái bóng tròn - Ngoại binh ( 2017),07:00 - Phim truyện - Phượng mưu hoàng kế - Tập 2,09:30 - Phim hoạt hình - Coconut - Chú rồng tinh nghịch - Tập 21
03:00 - Thời sự 3h -  ,04:00 - Những mảnh ghép của cuộc sống - Nhà điêu khắc của tự nhiên - Tập 2,07:00 - Cà phê sáng -  ,04:00 - Giai điệu cuộc sống - Dân ca: Trống quân giao duyên,04:30 - Phim truyện - Hoa thiên cốt - Tập 19,04:30 - Phim truyện - Hoa Thiên Cốt - Tập 19,05:15 - Khám phá Việt Nam -  ,04:45 - Khám phá Việt Nam - Phỗng đất Đông Khê,09:00 - Phim hoạt hình - Boing biệt đội cứu hộ - Phần 2 - Tập 5,07:35 - Trang địa phương -  ,03:00 - Gặp nhau để cười -  ,06:00 - Chuyện khó đỡ - Tập 101,07:00 - Phim truyện - Sức nặng tình thâm - Tập 20,04:00 - Bóng chuyền Quốc tế 2018 Liên Việt PostBank - Việt Nam vs Kazakhstan,08:00 - Phim truyện - Nhà tôi là nhất - Tập 87,10:00 - Phim hoạt hình - Cô bé bướng bỉnh - Tập 17
