VTV1,VTV2,VTV3,VTV4,VTV6,VTV7,VTV8,VTV9,VTVCab2 - PhimViet,VTVCab7 - D Dramas
00:00 - Thời sự 0h -  ,00:00 - KHGD Quốc phòng -  ,00:00 - Phim truyện - Mặt nạ - Tập 22,00:00 - Bản tin tiêng Việt 0h -  ,00:00 -  - ,00:00 -  - ,00:00 -  - ,00:00 - Thể thao -  ,00:00 -  - ,00:00 - Phim truyện - Bích huyết thư - Tập 24
00:15 - Chuyện nhà nông với nông nghiệp -  ,00:30 - Phóng sự - Những cánh chim không mỏi,00:50 - Khám phá thế giới - Ngôi nhà mơ ước - Tập 3,00:20 - Sức sống thể thao -  ,00:30 - Phim truyện -  ,06:00 - Thức dậy cùng VTV7 -  ,05:00 - Ký sự -  ,00:30 - Nghe cầu vồng nói -  ,00:02 - Phim truyện - Ánh sáng thiên đường - Tập 34,01:00 - Phim truyện - Bức họa vương quyền - Tập 53
00:30 - Trang địa phương -  ,00:45 - Khám phá thế giới - Trái đất nhìn từ trên cao - Tập 1,01:15 - Chuẩn cơm mẹ nấu -  ,00:25 - Thời tiết du lịch -  ,01:45 - Bảng xếp hạng âm nhạc Hàn Quốc -  ,07:00 - Crack'em up - Số 9,05:15 - Kết nối miền Trung -  ,00:45 - Biệt đội tất tần tật -  ,01:00 - Phim truyện - Khát vọng xanh - Tập 33,02:00 - Phim truyện - Đuổi bắt tình yêu - Tập 32
01:00 - Thời sự 1h -  ,01:30 - Phim truyện - Tráng sĩ xuất quân - Tập 3,02:10 - Chuyện đêm muộn - Những lá thư tay,00:30 - Đường lên đỉnh Olympia - Cuộc 52,02:15 - Khám phá thế giới - Phiêu lưu trong khoa học - Tập 10,07:30 - Phim tài liệu - Không có mưa,05:30 - Chào buổi sáng -  ,01:00 - Đấu trường ẩm thực -  ,02:00 - Phim truyện - Con gái ông trùm - Tập 25,03:00 - Phim truyện - Bích huyết thư - Tập 25
01:10 - Quốc gia khởi nghiệp -  ,02:25 - Đẹp 24/7 - Thời trang dạ hội,"03:00 - Phim truyện - Lọ Lem và 4 chàng kỵ sĩ - Tập 19, 20",01:15 - Người Việt bốn phương -  ,03:00 - Hôm nay ai đến? -  ,07:45 - Đổi mới sáng tạo - Số 2: Học mỹ thuật theo phương pháp mới,06:00 - Chào ngày mới -  ,01:20 - Cẩm nang sức khỏe -  ,03:00 - Phim truyện - Tôi yêu cô đơn - Tập 5,04:00 - Phim truyện - Quỷ bà cảnh sát 2 - Tập 7
01:40 - Khám phá Việt Nam - Người thợ rèn vùng cao,02:30 - Khám phá thế giới - Ý tưởng xanh – Tập 2,04:25 - Hãy chọn giá đúng -  ,01:30 - Sài Gòn đêm thứ 7 -  ,03:30 - Thể thao -  ,08:00 - Mẹ ơi tại sao - Số 3: Tập trung,06:30 - Thông tin - Thông báo -  ,01:30 - Khám phá thế giới - Vườn quốc gia nước Mỹ - Tập 24,04:00 - Phim truyện - Khúc tương tư - Tập 5,05:00 - Phim truyện - Bóng tối của cám dỗ - Tập 1
02:00 - Thời sự 2h -  ,03:15 - Bạn của nhà nông - Số 103.18,05:10 - Lắng nghe con yêu -  ,03:00 - Bản tin tiếng Pháp -  ,04:00 - Phim truyện -  ,08:15 - Baby on the way - Số 3: Đi thuyền tới đảo em bé,06:35 - Phim truyện - Người vợ 100 ngày - Tập 16,02:00 - Canh tác thông minh -  ,05:00 - Phim truyện - Trại cá sấu - Tập 25,06:00 - Phim truyện - Đuổi bắt tình yêu - Tập 33
02:10 - Phim truyện - Đi tìm tình yêu đích thực - Tập 18,04:00 - Vì sức khỏe người Việt -  ,06:00 - Nhịp đập 360° thể thao -  ,03:30 - Núi sông bờ cõi - Tình hữu nghị bên dòng sông Mã - Phần 2,"04:45 - Khám phá Việt Nam - Lỗ Khê, làng cổ vùng Ngũ Giỗ",08:30 - Chuyện học trò - Số 3: Hai mặt của vấn đề,07:20 - Hương rừng - Người giữ hồn nhạc cụ dân tộc Ê Đê,02:20 - Cơm ấm nhà mình -  ,06:00 - Phim truyện - Cú hích trên không - Tập 1,07:00 - Phim truyện - Bích huyết thư - Tập 26
03:00 - Thời sự 3h -  ,04:15 - Câu chuyện sở hữu trí tuệ -  ,06:45 - S- Việt Nam -  ,04:00 - Giai điệu cuộc sống - Điệu lý quê mình,05:00 - Khám phá thế giới - Hành tinh nổi giận – Tập 24,"09:00 - Phim hoạt hình - Tayo xe buýt bé nhỏ - Tập 17, 18",07:35 - Chuyện làng - Bệnh thối bẹ cây lúa,02:30 - Siêu mẫu nhí -  ,07:00 - Phim truyện - Khát vọng xanh - Tập 34,08:00 - Phim truyện - Quỷ bà cảnh sát 2 - Tập 8
03:10 - Talk VietNam -  ,04:30 - Khám phá thế giới - Những chuyến di cư thời hiện đại – Tập 13,06:55 - Trái tim cho em -  ,04:15 - Tinh hoa võ thuật - Ám khí – huyền thoại và sự thật,05:30 - Hôm nay ai đến? -  ,09:30 - Trường học VTV7 (Tiểu học) - Sáng tạo 102: Lá cây; Học cùng con: Tại sao con không nên ăn đồ ngọt,07:50 - Hôm nay ai đến? -  ,02:50 - Hương tình yêu -  ,08:00 - Phim truyện - Con gái ông trùm - Tập 26,09:00 - Phim truyện - Bức họa vương quyền - Tập 54
