VTV1,VTV2,VTV3,VTV4,VTV5,VTV5 Tây Nam Bộ,VTV6,VTV7,VTV8,VTV9,VTVCab1,VTVCab17 - Yeah 1,VTVCab2 - PhimViet,VTVCab3 - Thể thao TV,VTVCab6 - HayTV,VTVCab7 - D Dramas,VTVCab8 - BiBi,VTVLive
"00:00 - Quốc ca, Chủ tịch nước chúc Tết đồng bào và chiến sĩ cả nước -  ",00:00 -  - ,00:00 -  - ,00:00 -  - ,00:00 - Tiếp sóng chương trình đón xuân của Đài THVN -  ,00:00 -  - ,00:00 - Chủ tịch nước chúc Tết và Không khí đón giao thừa -  ,00:00 -  - ,00:00 - Pháo hoa mừng năm mới - Chủ tịch nước chúc Tết -  ,"00:00 - Chương trình đặc biệt đón năm mới - Chủ tịch nước chúc Tết đồng bào, chiến sỹ cả nước",00:00 - Sắc xuân 18 -  ,00:00 -  - ,00:00 -  - ,00:00 - WTA Tour 2018 - St Petersburg Ladies Trophy - Chung kết,00:00 - Chân tình bốn phương - Tập 75 - 76,00:00 - Sắc xuân 18 -  ,00:00 -  - ,00:00 - Phim truyện - Sống chung với mẹ chồng - Tập 29
00:10 - Tết nghĩa là hy vọng - Phần 2,00:03 - Chương trình đặc biệt - Đón xuân Mậu Tuất 2018,01:00 - Chào 2018 -  ,00:05 - Tết nghĩa là hy vọng - Phần 2,01:30 - Sắc màu các dân tộc - Mùa xuân Tây Bắc,01:30 - Sắc màu các dân tộc - Mùa xuân Tây Bắc,00:10 - Tết nghĩa là hy vọng - Phần 2,06:00 - Thức dậy cùng VTV7 -  ,00:05 - Bản tin -  ,00:15 - Ca nhạc - Năm mới vui vẻ,00:30 - Sóng 18 p4 -  ,00:30 - Chuyện gia đình vàng - Số 16,00:02 - Phim truyện - Nhịp sinh tử - Tập 43,01:30 - ATP World Tour 500 - ABN AMRO Vòng 3 -  ,02:00 - Phim sitcom - Nè biết gì chưa - Tập 99,01:00 - Phim truyện - Nàng vali và chàng sơ mi - Tập 23,06:00 - Anh hùng thành phố - Tập 25,00:45 - S-Vietnam - Người mang kịch câm trở lại
01:00 - Thời sự 1h -  ,01:00 - Chương trình đặc biệt - Vẻ đẹp Việt: Tôi yêu tiếng nước tôi,"03:00 - Phim truyện - Quan huyện Trịnh Bản Kiều - Tập 39, 40",01:00 - Gala Ngày trở về - Cội nguồn thương nhớ,02:00 - Khám phá thế giới - Khám phá Châu thổ sông Mê Kông,02:00 - Khám phá thế giới - Khám phá Châu thổ sông Mê Kong,01:00 - Bước nhảy mùa xuân -  ,07:00 - Phim tài liệu - 69713,00:20 - Phim ca nhạc - Bay qua miền hoa nắng,01:30 - Ca cảnh - Tài tử miệt vườn,01:00 - Làng hài khai Tết - Thần tài mất tích,00:45 - Bật mí bí mật - Số 16,01:00 - Phim truyện - Săn vàng - Tập 26,05:00 - Tổng hợp VĐQG Đức 17/18 Vòng 27 -  ,02:30 - Hồn Việt - Tập 14,02:00 - Gala hài xuân 2018 - ACBC 2018 - Phần 1,06:30 - Chú chó biết nói - Tập 10/10,00:50 - Phim tài liệu - Phòng chống tội phạm ma túy qua biên giới
01:30 - Xuân về trong trái tim đồng bào 2018 - Xuân yêu thương -  ,02:30 - Việt Nam - Đất nước - Con người - Người Mường,04:30 - Ca nhạc - Năm mới vui vẻ,02:30 - Sân khấu - 1000 độ hot - số Gala,02:45 - Tinh hoa nghề việt - Gốm trong văn minh vật chất người Việt Nam,02:45 - Tinh hoa nghề Việt - Gốm trong văn minh vật chất người Việt Nam,02:00 - Ghế không tựa -  ,07:15 - Đổi mới sáng tạo - Số 13,05:00 - Ký sự -  ,02:30 - Rong ruổi đất phương Nam - Mùa xuân trên thành phố Hồ Chí Minh,02:00 - Gala hài xuân 2018 - Người khó xử,01:00 - Yeah1 on stage - Số 01,02:00 - Phim truyện - Hai lúa phiêu lưu - Tập 1,06:00 - Ngoại hạng Anh 17/18 Vòng 27:  Dortmund - Hamburg -  ,03:00 - Ca nhạc - VZ Playlist - Tập 101,03:00 - Gala hài xuân 2018 - Vitamin cười - Người khó xử,07:00 - Trang trại vui vẻ - Tập 9,01:40 - Chuyện đêm muộn - Chuyện đêm muộn - 13/10/2017
02:30 - VTV kết nối -  ,03:15 - Bạn của nhà nông - Chăm sóc hoa lan Hồ Điệp,06:00 - Nhịp đập 360 độ thể thao -  ,03:30 - Món ngon Phương Nam - Bánh tét Trà Cuôn,"03:00 - Phim hoạt hình - 12 con giáp - Tập 93, 94","03:00 - Phim hoạt hình - 12 con giáp - Tập 93, 94",02:30 - Đón xuân -  ,07:30 - Crack'em up - Số 20,05:15 - Kết nối miền Trung -  ,03:00 - Tết sum vầy -  ,02:30 - Dối tình - Tập 22,02:00 - Gia đình tài tử - Số 56,03:00 - Phim truyện - Hai lúa phiêu lưu - Tập 2,07:30 - Góc khuất - Hoàng Xuân Vinh,04:00 - Tình yêu Chocolate - Tập 07,04:00 - Vạn nụ cười xuân - Quà tết khó hiểu,07:30 - Thế giới của Zou - Tập 19,02:25 - Muôn màu Showbiz - Muôn màu Showbiz - 09/7/2017
02:45 - Phim truyện - Ăn – cầu nguyện – yêu,03:45 - Nhà nông vui vẻ -  ,07:00 - Cà phê sáng -  ,04:00 - Giai điệu cuộc sống - Dấu ấn ca sỹ lam Trường,03:30 - Tiểu phẩm hài - Chiếc gương của giời,03:30 - Tiểu phẩm hài - Chiếc gương của giời,03:30 - Thể thao - Dấu ấn thể thao Việt Nam,08:00 - IELTS FACE OFF - The wow factor,05:25 - Chào buổi sáng Bông lúa -  ,03:55 - Góc nhìn đa chiều -  ,03:30 - Gala hài xuân 2018 - Ai cũng bật cười 2018 p3,02:30 - Gameshow (pl) - Mv,04:00 - Phim truyện - Kẻ thù phụ nữ - Tập 16,08:15 - Muôn màu thể thao -  ,05:00 - Chân tình bốn phương - Tập 75 - 76,05:00 - Phim truyện - Cứ lạ đi em ! - Tập 12,08:00 - Lũ trẻ tinh nghịch - Tập 16,03:10 - Phim truyện - Sống chung với mẹ chồng – Tập 29
05:10 - Thanh âm Việt -  ,04:00 - Chân trời khoa học -  ,07:45 - Nét ẩm thực Việt -  ,05:00 - Phim truyện - Hai lúa phiêu du - Tập 2,04:00 - Mùa vàng bội thu - Khởi đầu nông nghiệp 4.0 ở Đồng bằng Sông Cửu Long,04:00 - Mùa vàng bội thu - Khởi đầu nông nghiệp 4.0 ở ĐBSCL,04:00 - Phim truyện - Ngự lâm không kiếm - Tập 4,08:30 - Follow us - Số 2,06:00 - Chào ngày mới -  ,04:40 - Về đất Phương Nam - Làng gốm cổ ven sông,04:00 - Làng hài khai Tết - Nợ Tết khó đòi,02:45 - Chuyện gia đình vàng - Số 16,05:00 - Phim truyện - Yêu trong thù hận - Tập 12,08:30 - Thể thao cập nhật -  ,07:00 - Đội đặc nhiệm CID - Tập 38,06:00 - Cô Thắm về làng - Xuân hội ngộ 2018,08:30 - Cô bé bướng bỉnh - Tập 19,03:55 - Talk Vietnam - Việt Nam - Liên Hợp Quốc: 40 năm quan hệ đối tác
05:25 - Chào buổi sáng -  ,04:30 - Khám phá thế giới - Những khu vườn độc đáo - Tập 1,07:50 - Mỗi ngày một niềm vui -  ,05:30 - Gia đình vui vẻ - Số 2,04:30 - Phim truyện - Dâu tây đón tếp - Tập 1,04:30 - Phim truyện - Dâu tây đón tết - Tập 1,04:45 - Khám phá Việt Nam - Thiên đường biển đảo,09:00 - Phim hoạt hình - Bánh mỳ mây - Tập 22,06:30 - Chương trình đặc biệt - Chào 2018,05:00 - Ca nhạc - Dải khăn huyền thoại,05:00 - Làng hài khai Tết - Câu cá,03:00 - Siêu thị âm nhạc - Số 117,06:00 - Phim truyện - Nhịp sinh tử - Tập 44,08:45 - WTA Tour 2018 - ASB Classic Chung kết -  ,08:00 - Ca nhạc - VZ Playlist - Tập 102,07:00 - Sắc xuân 18 - Liêu trai 4 - Tập 4,09:00 - Anh hùng thành phố - Tập 26/26,"04:40 - Expat Living - Bia thế giới, hương Vị Việt"
07:00 - Vẻ đẹp Việt - Tôi yêu tiếng nước tôi,05:00 - Sắc màu các dân tộc - Tết nhảy của Người Dao,07:58 - Thời tiết -  ,05:45 - Thời tiết du lịch -  ,05:30 - Chương trình tiếng Mông -  ,05:15 - Khám phá Việt Nam -  ,"05:00 - Khám phá thế giới - Thế giới nhìn từ trên cao - Phần 8, Tập 2",09:10 - Phim hoạt hình - Peet thám tử rừng xanh - Phần 2 - Tập 21,09:00 - Bản tin -  ,05:30 - Chào buổi sáng Bông lúa -  ,06:00 - Làng hài khai Tết - Món quà đầu năm,04:00 - Bé làm người lớn - Số 6,07:00 - Phim truyện - Săn vàng - Tập 27,10:15 - NBA News -  ,09:00 - Phim sitcom - Nè biết gì chưa - Tập 99,07:30 - Vạn nụ cười xuân - Chàng rể hotboy,09:30 - Thuyền trưởng Flinn và đội quận hải tặc - Tập 1/26,05:10 - Culture Mosaic - Culture Mosaic – 30/9/2017
